1,1,group,تجمع,tajmae
1,2,adult,بالغ,baligh
1,3,woman,امرأة,aimra'a
1,4,mother,أم,'um
1,1,father,الآب,alab
1,2,daughter,ابنة,aibna
1,3,son,ابن,abn
1,4,brother,شقيق,shaqiq
1,1,sister,أخت,'ukht
1,2,grandfather,جد,jidd
1,3,grandmother,جدة,jidd
1,4,aunt,عمة,eimm
1,1,uncle,عم,em
1,2,teacher,مدرس,mudarris
1,3,student,طالب علم,talab eilm
1,4,everybody,الجميع,aljamie
1,1,husband,زوج,zawj
1,2,baby,طفل,tifl
1,3,child,طفل,tifl
1,4,human,الانسان,al'iinsan
1,1,wife,زوجة,zawja
1,2,parent,أصل,asl
1,3,own,يمتلك,yamtalik
1,4,employer,صاحب العمل,sahib aleamal
1,1,youth,شباب,shabab
1,2,humanity,الإنسانية,al'iinsania
1,3,nationality,جنسية,jinsia
1,4,country,بلد,balad
1,1,society,المجتمع,almujtamae
1,2,family,أسرة,'usra
1,3,population,عدد السكان,eadad alsskkan
1,4,animal,حيوان,hiwan
1,1,community,مجتمع,mujtamae
1,2,married,متزوج,mutazawwij
1,3,culture,ثقافة,thaqafa
1,4,crowd,حشد,hashd
1,1,government,حكومة,hukuma
1,2,self-awareness,الوعي الذاتي,alwaey aldhdhati
1,3,mature,ناضج,nadij
1,4,personality,شخصية,shakhsia
2,1,market,سوق,suq
2,2,build,بناء,bina'
2,3,move,خطوة,khatwa
2,4,bank,بنك,bank
2,1,desert,صحراء,sahra'
2,2,quiet,هادئ,hadi
2,3,change,تغيير,taghyir
2,4,enjoy,استمتع,astamtae
2,1,close,أغلق,'ughliq
2,2,condition,شرط,shart
2,3,garden,حديقة,hadiqa
2,4,village,قرية,qry
2,1,around,أنحاء,'anha'
2,2,employ,توظيف,tawzif
2,3,spend,أنفق,'anfaq
2,4,bright,مشرق,mushriq
2,1,forest,غابة,ghaba
2,2,popular,شعبي,shaebi
2,3,cost,كلفة,kulfa
2,4,house,منزل,manzil
2,1,island,جزيرة,jazira
2,2,include,تتضمن,tatadamman
2,3,mountain,جبل,jabal
2,4,modern,حديث,hadith
2,1,nation,دولة,dawla
2,2,neighbor,جار,jar
2,3,office,مكتب,maktab
2,4,pay,دفع,dafe
2,1,protect,يحمي,yahmi
2,2,quality,جودة,jawda
2,3,ride,ركوب,rukub
2,4,sea,بحر,bahr
2,1,ship,سفينة,safina
2,2,snow,ثلج,thalaj
2,3,take,أخذ,'akhadh
2,4,temperature,درجة الحرارة,darajat alharara
2,1,town,بلدة,balda
2,2,university,جامعة,jamiea
2,3,visit,زيارة,ziara
2,4,watch,راقب,raqib
4,1,abroad,خارج البلاد,kharij albilad
4,2,animal,حيوان,hiwan
4,3,attract,جذب,jadhab
4,4,camera,الة تصوير,alat taswir
4,1,camp,مخيم,mukhayam
4,2,competition,منافسة,munafasa
4,3,crowd,حشد,hashd
4,4,drive,يقود,yaqud
4,1,enjoy,استمتع,astamtae
4,2,example,مثال,mithal
4,3,excite,أثار,'athar
4,4,exercise,ممارسة,mumarasa
4,1,game,لعبة,lueba
4,2,garden,حديقة,hadiqa
4,3,holiday,يوم الاجازة,yawm al'iijaza
4,4,international,دولي,duali
4,1,learn,تعلم,taeallam
4,2,market,سوق,suq
4,3,mountain,جبل,jabal
4,4,music,موسيقى,musiqaa
4,1,nature,طبيعة,tabiea
4,2,north,شمال,shamal
4,3,organize,تنظم,tunazzim
4,4,park,منتزه,muntazzuh
4,1,party,حزب,hizb
4,2,people,الناس,alnnas
4,3,popular,شعبي,shaebi
4,4,popular,شعبي,shaebi
4,1,race,سباق,sibaq
4,2,recognize,اتعرف على,aittaearaf ealaa
4,3,restaurant,مطعم,mateam
4,4,shoot,أطلق النار,'atlaq alnnar
4,1,stone,حجر,hijr
4,2,summer,الصيف,alssayf
4,3,surround,طوق,tuq
4,4,tour,جولة,jawla
4,1,travel,سفر,safar
4,2,view,رأي,ray
4,3,village,قرية,qry
4,4,winter,شتاء,shata'
3,1,account,حساب,hisab
3,2,actor,الممثل,almumaththil
3,3,bank,بنك,bank
3,4,branch,فرع,farae
3,1,business,عمل,eamal
3,2,campus,حرم الجامعة,haram aljamiea
3,3,check,الاختيار,alaikhtiar
3,4,compute,حساب,hisab
3,1,correct,صحيح,sahih
3,2,decide,قرر,qarrar
3,3,design,تصميم,tasmim
3,4,desk,طاولة مكتب,tawilat maktab
3,1,difference,فرق,farq
3,2,doctor,طبيب,tabib
3,3,engine,محرك,maharrak
3,4,fact,حقيقة,hqyq
3,1,furnish,تقدم,taqaddam
3,2,interest,فائدة,fayida
3,3,know,علم,eulim
3,4,learn,تعلم,taeallam
3,1,lecture,محاضرة,muhadara
3,2,library,مكتبة,maktaba
3,3,medicine,دواء,dawa'
3,4,million,مليون,milyun
3,1,office,مكتب,maktab
3,2,organize,تنظم,tunazzim
3,3,police,شرطة,shurta
3,4,problem,مشكلة,mushkila
3,1,protect,يحمي,yahmi
3,2,reason,سبب,sbb
3,3,responsible,مسؤول,maswuwl
3,4,river,نهر,nahr
3,1,sell,يبيع,yabie
3,2,send,إرسال,'iirsal
3,3,service,خدمة,khidma
3,4,student,طالب علم,talab eilm
3,1,teach,علم,eulim
3,2,telephone,هاتف,hatif
3,3,university,جامعة,jamiea
3,4,week,أسبوع,'usbue
5,1,bird,طائر,tayir
5,1,boat,قارب,qarib
5,2,body,الجسم,aljism
5,2,bridge,جسر,jisr
5,3,build,بناء,bina'
5,3,cloud,غيم,ghim
5,4,coast,ساحل,sahil
5,4,country,بلد,balad
5,1,deep,عميق,eamiq
5,1,desert,صحراء,sahra'
5,2,destroy,هدم,hadm
5,2,distance,المسافات,almasafat
5,3,dry,جاف,jaf
5,3,earth,أرض,'ard
5,4,exercise,ممارسة,mumarasa
5,4,farm,مزرعة,mazraea
5,1,field,حقل,haql
5,1,forest,غابة,ghaba
5,2,fresh,طازج,tazij
5,2,gold,ذهب,dhahab
5,3,grow,تنمو,tanmu
5,3,history,التاريخ,alttarikh
5,4,measure,قياس,qias
5,4,mountain,جبل,jabal
5,1,nature,طبيعة,tabiea
5,1,oil,نفط,nft
5,2,plant,نبات,nabb'at
5,2,produce,إنتاج,'iintaj
5,3,rich,غني,ghani
5,3,river,نهر,nahr
5,4,rock,صخرة,sakhra
5,4,salt,ملح,milh
5,1,silver,فضي,fadi
5,1,snow,ثلج,thalaj
5,2,surface,سطح,sath
5,2,valley,الوادي,alwadi
5,3,village,قرية,qry
5,3,water,ماء,ma'an
5,4,wide,واسع,wasie
5,4,world,العالم,alealam
